‐  hyphen
⊿  right triangle
⋀  n-ary logical and
⋁  n-ary logical or
⋂  n-ary intersection
⋃  n-ary union
⋄  diamond operator
⋅  dot operator
⋆  star operator
⋇  division times
⋈  bowtie
⋉  left normal factor semidirect product
⋊  right normal factor semidirect product
⋋  left semidirect product
⋌  right semidirect product
⋍  reversed tilde equals
⋎  curly logical or
⋏  curly logical and
⋐  double subset
⋑  double superset
⋒  double intersection
⋓  double union
⋔  pitchfork
⋕  equal and parallel to
⋖  less-than with dot
⋗  greater-than with dot
⋘  very much less-than
⋙  very much greater-than
⋚  less-than equal to or greater-than
⋛  greater-than equal to or less-than
⋜  equal to or less-than
⋝  equal to or greater-than
⋞  equal to or precedes
⋟  equal to or succeeds
⋠  does not precede or equal
⋡  does not succeed or equal
⋢  not square image of or equal to
⋣  not square original of or equal to
⋤  square image of or not equal to
⋥  square original of or not equal to
⋦  less-than but not equivalent to
⋧  greater-than but not equivalent to
⋨  precedes but not equivalent to
⋩  succeeds but not equivalent to
⋪  not normal subgroup of
⋫  does not contain as normal subgroup
⋬  not normal subgroup of or equal to
⋭  does not contain as normal subgroup or equal
⋮  vertical ellipsis
⋯  midline horizontal ellipsis
⋰  up right diagonal ellipsis
⋱  down right diagonal ellipsis
⋲  element of with long horizontal stroke
⋳  element of with vertical bar at end of horizontal stroke
⋴  small element of with vertical bar at end of horizontal stroke
⋵  element of with dot above
⋶  element of with overbar
⋷  small element of with overbar
⋸  element of with underbar
⋹  element of with two horizontal strokes
⋺  contains with long horizontal stroke
⋻  contains with vertical bar at end of horizontal stroke
⋼  small contains with vertical bar at end of horizontal stroke
⋽  contains with overbar
⋾  small contains with overbar
⋿  z notation bag membership
⌀  diameter sign
⌁  electric arrow
⌂  house
⌃  up arrowhead
⌄  down arrowhead
⌅  projective
⌆  perspective
⌇  wavy line
⌈  left ceiling
⌉  right ceiling
⌊  left floor
⌋  right floor
⌌  bottom right crop
⌍  bottom left crop
⌎  top right crop
⌏  top left crop
⌐  reversed not sign
⌑  square lozenge
⌒  arc
⌓  segment
⌔  sector
⌕  telephone recorder
⌖  position indicator
⌗  viewdata square
⌘  place of interest sign
⌙  turned not sign
⌚  watch
⌛  hourglass
⌜  top left corner
⌝  top right corner
⌞  bottom left corner
⌟  bottom right corner
⌠  top half integral
⌡  bottom half integral
⌢  frown
⌣  smile
⌤  up arrowhead between two horizontal bars
⌥  option key
⌦  erase to the right
⌧  x in a rectangle box
⌨  keyboard
〈  left-pointing angle bracket
〉  right-pointing angle bracket
⌫  erase to the left
⌬  benzene ring
⌭  cylindricity
⌮  all around-profile
⌯  symmetry
⌰  total runout
⌱  dimension origin
⌲  conical taper
⌳  slope
⌴  counterbore
⌵  countersink
⌶  apl functional symbol i-beam
⌷  apl functional symbol squish quad
⌸  apl functional symbol quad equal
⌹  apl functional symbol quad divide
⌺  apl functional symbol quad diamond
⌻  apl functional symbol quad jot
⌼  apl functional symbol quad circle
⌽  apl functional symbol circle stile
⌾  apl functional symbol circle jot
⌿  apl functional symbol slash bar
⍀  apl functional symbol backslash bar
⍁  apl functional symbol quad slash
⍂  apl functional symbol quad backslash
⍃  apl functional symbol quad less-than
⍄  apl functional symbol quad greater-than
⍅  apl functional symbol leftwards vane
⍆  apl functional symbol rightwards vane
⍇  apl functional symbol quad leftwards arrow
⍈  apl functional symbol quad rightwards arrow
⍉  apl functional symbol circle backslash
⍊  apl functional symbol down tack underbar
⍋  apl functional symbol delta stile
⍌  apl functional symbol quad down caret
⍍  apl functional symbol quad delta
⍎  apl functional symbol down tack jot
⍏  apl functional symbol upwards vane
⍐  apl functional symbol quad upwards arrow
⍑  apl functional symbol up tack overbar
⍒  apl functional symbol del stile
⍓  apl functional symbol quad up caret
⍔  apl functional symbol quad del
⍕  apl functional symbol up tack jot
⍖  apl functional symbol downwards vane
⍗  apl functional symbol quad downwards arrow
⍘  apl functional symbol quote underbar
⍙  apl functional symbol delta underbar
⍚  apl functional symbol diamond underbar
⍛  apl functional symbol jot underbar
⍜  apl functional symbol circle underbar
⍝  apl functional symbol up shoe jot
⍞  apl functional symbol quote quad
⍟  apl functional symbol circle star
⍠  apl functional symbol quad colon
⍡  apl functional symbol up tack diaeresis
⍢  apl functional symbol del diaeresis
